Determinacion_Nombre,IdEjemplar,Ruta,NombreObjeto,CatalogoGenero_Nombre,CatalogoFamilia_Nombre
"Adolphia infesta - (Kunth) Meisn., 1837",3171,Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Tepezalá\19 de abril del 2013\143. 4 km al E de Tepezalá\,IMG_0063.JPG,Adolphia,Rhamnaceae
"Adolphia infesta - (Kunth) Meisn., 1837",3293,Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Asientos\10 de abril del 2013\141. 4.3 km al W de Asientos\,SAM_2818.JPG,Adolphia,Rhamnaceae
"Adolphia infesta - (Kunth) Meisn., 1837",3298,Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Jesús María\12 de agosto del 2013\233. 3.20 km al NW de Gracias a Dios\,IMG_6759.JPG,Adolphia,Rhamnaceae
"Adolphia infesta - (Kunth) Meisn., 1837",3201,"Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Jesús María\24 de mayo del 2013\151. Presa El Capulín, 9 km al NW de El Ocote\",IMG_4528.JPG,Adolphia,Rhamnaceae
"Adolphia infesta - (Kunth) Meisn., 1837",2134,Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Jesús María\17 de noviembre del 2012\97. 6 km al SSE de Tapias Viejas\,IMG_0266.JPG,Adolphia,Rhamnaceae
"Adolphia infesta - (Kunth) Meisn., 1837",2128,"Users\Herbario\Desktop\Proyecto Flora\Hugo\Fotos\Calvillo\04 de octubre del 2012\63. 2 km al E de El Saúz, barranca Cebolletas\",IMG_7475.JPG,Adolphia,Rhamnaceae
"Agalinis peduncularis - (Benth.) Pennell, 1918",4154,"Users\Herbario\Desktop\Proyecto Flora\María Elena\Fotos\San José de Gracia\30 de octubre del 2013\296. Barranca Los Hoyos, a 10.1km al NW de La Congoja\",IMG_9663.JPG,Agalinis,Orobanchaceae
"Agalinis peduncularis - (Benth.) Pennell, 1918",4153,Users\Herbario\Desktop\Proyecto Flora\María Elena\Fotos\San José de Gracia\20 de septiembre del 2013\273. 1 km al NW de La Congoja\,MEMLIMG_0467.JPG,Agalinis,Orobanchaceae
"Agalinis peduncularis - (Benth.) Pennell, 1918",6280,Users\Herbario\Desktop\Proyecto Flora\María Elena\Fotos\San José de Gracia\01 de julio del 2014\355. 2.8 km al W de Potrero de los López\,IMG_4034.JPG,Agalinis,Orobanchaceae
"Alternanthera caracasana - Kunth, 1818",6308,"Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San José de Gracia\12 de junio del 2013\156. 3 km al N de San Jose de Gracia, carr. a la Congoja\",IMG_4960.JPG,Alternanthera,Amaranthaceae
"Alternanthera caracasana - Kunth, 1818",5937,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\El Llano\09 de agosto del 2013\228. 1.3 km al S de Francisco Sarabia\,IMG_0269hg.JPG,Alternanthera,Amaranthaceae
"Alternanthera caracasana - Kunth, 1818",1043,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San José de Gracia\27 de octubre del 2012\80. 3 km al NO de la cortina de la presa El Jocoqui\,IMG_9173.JPG,Alternanthera,Amaranthaceae
"Alternanthera caracasana - Kunth, 1818",249,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Asientos\06 de septiembre del 2012\33. Presa El Llavero\,IMG_4971hg.JPG,Alternanthera,Amaranthaceae
"Alternanthera caracasana - Kunth, 1818",5936,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\13 de septiembre del 2012\41. Medio km al O de la Barranca El Pilar\,IMG_5568.JPG,Alternanthera,Amaranthaceae
"Allionia choisyi - Standl., 1931",5489,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\El Llano\17 de julio del 2013\199. Barranca de La Mina a 6.7 al NE de Palo Alto\,IMG_0212.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",3345,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Tepezalá\10 de abril del 2013\140. 2.7 km al SE de Tepezalá\,IMG_3597.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",5490,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San Francisco de los Romo\04 de julio del 2013\189. 2 km al SE de San Francisco de los Romo\,IMG_6428.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",5491,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San Francisco de los Romo\04 de julio del 2013\191. 2 km al W de Borrotes\,IMG_6431.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",5493,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San Francisco de los Romo\04 de julio del 2013\195. 3 km al E de San Francisco de los Romo\,IMG_0004hg.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",1050,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Tepezalá\08 de noviembre del 2012\87. Arroyo Las Pilas\,IMG_9707.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",6224,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Asientos\03 de abril del 2013\135. 2 km al SE de Asientos\,IMG_3078.JPG,Allionia,Nyctaginaceae
"Allionia choisyi - Standl., 1931",5492,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San Francisco de los Romo\04 de julio del 2013\192. 1.5 km al NW de Borrotes\,IMG_6450.JPG,Allionia,Nyctaginaceae
"Allionia incarnata - L., 1759",1949,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Asientos\06 de septiembre del 2012\32. 3 km al N de El Llavero\,IMG_4847.JPG,Allionia,Nyctaginaceae
"Allionia incarnata - L., 1759",6225,"Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Tepezalá\02 de agosto del 2013\214. Arroyo las Pilas, 1.3 km al NW de Ex. Hacienda las Pilas\",IMG_0173hg.JPG,Allionia,Nyctaginaceae
"Allionia incarnata - L., 1759",1049,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Tepezalá\08 de noviembre del 2012\87. Arroyo Las Pilas\,IMG_9638hg.JPG,Allionia,Nyctaginaceae
"Amaranthus hybridus - L., 1753",5506,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Rincón de Romos\27 de octubre del 2012\79. 11.75 km al NO de Rincón de Romos\,IMG_9095.JPG,Amaranthus,Amaranthaceae
"Amaranthus hybridus - L., 1753",5505,"Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\06 de septiembre del 2013\263. Presa Nueva, 1.5 km al N de Presa de los Serna\",IMG_9473hg.JPG,Amaranthus,Amaranthaceae
"Amaranthus hybridus - L., 1753",5504,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Asientos\06 de septiembre del 2012\33. Presa El Llavero\,IMG_4984.JPG,Amaranthus,Amaranthaceae
"Amaranthus hybridus - L., 1753",57,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Asientos\6 de septiembre del 2012\2. Presa El Llavero\,IMG_4983.JPG,Amaranthus,Amaranthaceae
"Amaranthus palmeri - S. Watson, 1877",5501,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\20 de septiembre del 2012\48. 500 m al SO de El Temazcal\,IMG_6049.JPG,Amaranthus,Amaranthaceae
"Amaranthus palmeri - S. Watson, 1877",5502,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\08 de septiembre del 2012\35. Cruce Camino Río Gil-El Saúz\,IMG_5002hg.JPG,Amaranthus,Amaranthaceae
"Amaranthus palmeri - S. Watson, 1877",5500,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\05 de agosto del 2013\219. 600 m al SSE de El Sauz de La Labor\,IMG_6051.JPG,Amaranthus,Amaranthaceae
"Amaranthus palmeri - S. Watson, 1877",5503,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San Francisco de los Romo\04 de julio del 2013\194. 2.3 km al E de Borrotes\,IMG_6464hg.JPG,Amaranthus,Amaranthaceae
"Amaranthus polygonoides - L., 1759",6351,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\11 de septiembre del 2013\264. 2 km al S de Jaltiche de Arriba\,IMG_9673.JPG,Amaranthus,Amaranthaceae
"Amaranthus polygonoides - L., 1759",5509,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\11 de septiembre del 2013\264. 2 km al S de Jaltiche de Arriba\,IMG_9672.JPG,Amaranthus,Amaranthaceae
"Amaranthus polygonoides - L., 1759",5508,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Aguascalientes\28 de agosto del 2013\254. A 2.5 km al NO de Calvillito\,IMG_8517.JPG,Amaranthus,Amaranthaceae
"Amaranthus polygonoides - L., 1759",5507,"Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\06 de septiembre del 2013\263. Presa Nueva, 1.5 km al N de Presa de los Serna\",IMG_9470.JPG,Amaranthus,Amaranthaceae
"Amaranthus polygonoides - L., 1759",3373,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\11 de septiembre del 2013\264. 2 km al S de Jaltiche de Arriba\,IMG_9674.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",6315,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Aguascalientes\15 de septiembre del 2012\46. 9 km al SSE del cruce carretera 45 a San Bartolo\,IMG_5921.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",5498,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Tepezalá\08 de noviembre del 2012\87. Arroyo Las Pilas\,IMG_9680.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",5495,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Jesús María\17 de noviembre del 2012\96. 5 km al SE de Tapias Viejas (cañada Guijolotes)\,IMG_0218.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",5497,"Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\06 de septiembre del 2013\263. Presa Nueva, 1.5 km al N de Presa de los Serna\",IMG_9474.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",5496,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San José de Gracia\27 de octubre del 2012\80. 3 km al NO de la cortina de la presa El Jocoqui\,IMG_9223hg.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",5499,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\Calvillo\05 de junio del 2013\154. Alrededores de prea Malpaso\,IMG_4732.JPG,Amaranthus,Amaranthaceae
"Amaranthus powellii - S. Watson, 1875",6358,Users\Herbario\Desktop\Proyecto Flora\Higinio\Fotos\San José de Gracia\27 de octubre del 2012\80. 3 km al NO de la cortina de la presa El Jocoqui\,IMG_9221.JPG,Amaranthus,Amaranthaceae
"Anagallis arvensis - L., 1753",3218,"Users\Herbario\Desktop\Proyecto Flora\Florencia\1. FOTOS\Jesús María\24 de mayo del 2013\150. Presa El Ocote, 2 km al W de El Ocote\",IMG_4513.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",3217,"Users\Herbario\Desktop\Proyecto Flora\Florencia\1. FOTOS\Pabellón de Arteaga\21 de junio del 2013\167. Arroyo Santiago, 2 km al O de Santiago\",DSCF4215.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",3219,Users\Herbario\Desktop\Proyecto Flora\Florencia\1. FOTOS\Calvillo\15 de marzo del 2013\127. 1 km al NE del Balneario la Cueva\,DSCF2733.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",3221,"Users\Herbario\Desktop\Proyecto Flora\Florencia\1. FOTOS\San José de Gracia\12 de junio del 2013\158. Tunel de Potrerillo, 1.5 km al E de Boca del Tunel de Potrerillo\",DSCF4119.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",2062,Users\Herbario\Desktop\Proyecto Flora\Florencia\Fotos\Calvillo\15 de marzo del 2013\127. 1 km al NE del Balneario la Cueva\,DSCF2771.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",2056,"Users\Herbario\Desktop\Proyecto Flora\Florencia\Fotos\Calvillo\01 de marzo del 2013\116. Parte media de Barranca La Botita, 4 km al SE de Malpaso\",IMG_1981.JPG,Anagallis,Primulaceae
"Anagallis arvensis - L., 1753",3223,Users\Herbario\Desktop\Proyecto Flora\Florencia\1. FOTOS\Asientos\03 de abril del 2013\136. 2 km al S de Asientos\,DSCF3325.JPG,Anagallis,Primulaceae
